1995.2.4,1995-02-04
2008/12/23,2008-12-23
平成5年2月6日,1993-02-06
R3/08/30,2021-08-30
20180506,2018-05-06
２０22.１２.2３,2022-12-23
１９９９０１３１,1999-01-31
１９９9０１3１,1999-01-31
73/7/7,0073-07-07
73年7月7日,0073-07-07
74/4/4,0074-04-04
74年４月４日,0074-04-04
昭和56年11月23日,1981-11-23
r3/08/30,2021-08-30
令3.8.30,2021-08-30
令元.12.31,2019-12-31
平成31年4月30日,2019-04-30
平成31年4月31日,None
平成31年5月1日,None
令和1年4月30日,None
大正3年5月5日,1914-05-05
大正1年5月5日,None
大正元年5月5日,None
大正元年１２月２８日,1912-12-28
2024gre6kl5,None
4//06//25,0004-06-25
2024--6--25,2024-06-25
2220112,0222-01-12
35４/4/1２,0354-04-12
2024	06	25,2024-06-25
２０２４year6month5day,2024-06-05
2０24y5m7d,2024-05-07
2024yard5monkey7dash,None
